400 400
0 0 56
0 1 53
0 2 66
0 3 12
0 4 6
0 5 67
0 6 13
0 7 54
0 8 81
0 9 42
0 10 79
0 11 96
0 12 10
0 13 22
0 14 83
0 15 89
0 16 0
0 17 55
0 18 97
0 19 63
0 20 47
0 21 6
0 22 77
0 23 22
0 24 27
0 25 16
0 26 19
0 27 67
0 28 89
0 29 7
0 30 84
0 31 38
0 32 42
0 33 9
0 34 32
0 35 48
0 36 7
0 37 67
0 38 4
0 39 57
0 40 40
0 41 54
0 42 61
0 43 63
0 44 66
0 45 74
0 46 4
0 47 10
0 48 20
0 49 0
0 50 4
0 51 12
0 52 17
0 53 97
0 54 83
0 55 83
0 56 47
0 57 31
0 58 12
0 59 34
0 60 80
0 61 68
0 62 30
0 63 74
0 64 20
0 65 45
0 66 15
0 67 31
0 68 58
0 69 27
0 70 44
0 71 16
0 72 33
0 73 11
0 74 33
0 75 10
0 76 31
0 77 14
0 78 81
0 79 84
0 80 22
0 81 98
0 82 4
0 83 94
0 84 41
0 85 60
0 86 99
0 87 44
0 88 93
0 89 14
0 90 32
0 91 29
0 92 84
0 93 24
0 94 19
0 95 84
0 96 39
0 97 4
0 98 35
0 99 29
0 100 15
0 101 62
0 102 31
0 103 51
0 104 22
0 105 95
0 106 85
0 107 7
0 108 18
0 109 13
0 110 54
0 111 71
0 112 43
0 113 81
0 114 53
0 115 68
0 116 90
0 117 22
0 118 63
0 119 26
0 120 95
0 121 10
0 122 12
0 123 90
0 124 0
0 125 14
0 126 76
0 127 65
0 128 94
0 129 22
0 130 96
0 131 94
0 132 22
0 133 99
0 134 9
0 135 50
0 136 24
0 137 45
0 138 48
0 139 70
0 140 2
0 141 25
0 142 5
0 143 24
0 144 21
0 145 46
0 146 56
0 147 84
0 148 73
0 149 40
0 150 98
0 151 1
0 152 82
0 153 81
0 154 30
0 155 59
0 156 13
0 157 53
0 158 37
0 159 20
0 160 27
0 161 47
0 162 76
0 163 58
0 164 15
0 165 26
0 166 97
0 167 68
0 168 99
0 169 48
0 170 85
0 171 99
0 172 2
0 173 80
0 174 14
0 175 56
0 176 86
0 177 30
0 178 97
0 179 82
0 180 98
0 181 41
0 182 67
0 183 57
0 184 90
0 185 22
0 186 28
0 187 26
0 188 92
0 189 22
0 190 40
0 191 10
0 192 64
0 193 30
0 194 17
0 195 88
0 196 87
0 197 52
0 198 62
0 199 35
0 200 26
0 201 46
0 202 38
0 203 67
0 204 71
0 205 0
0 206 56
0 207 93
0 208 62
0 209 97
0 210 26
0 211 24
0 212 17
0 213 18
0 214 12
0 215 58
0 216 36
0 217 10
0 218 22
0 219 15
0 220 10
0 221 16
0 222 17
0 223 36
0 224 56
0 225 35
0 226 40
0 227 44
0 228 36
0 229 78
0 230 12
0 231 80
0 232 21
0 233 51
0 234 78
0 235 95
0 236 84
0 237 26
0 238 19
0 239 87
0 240 40
0 241 31
0 242 77
0 243 37
0 244 30
0 245 46
0 246 90
0 247 96
0 248 80
0 249 93
0 250 54
0 251 89
0 252 7
0 253 2
0 254 87
0 255 12
0 256 88
0 257 39
0 258 95
0 259 36
0 260 16
0 261 21
0 262 13
0 263 23
0 264 80
0 265 33
0 266 34
0 267 95
0 268 98
0 269 41
0 270 93
0 271 41
0 272 55
0 273 90
0 274 37
0 275 50
0 276 91
0 277 60
0 278 79
0 279 60
0 280 3
0 281 22
0 282 29
0 283 66
0 284 23
0 285 9
0 286 20
0 287 18
0 288 14
0 289 59
0 290 76
0 291 88
0 292 22
0 293 36
0 294 42
0 295 2
0 296 98
0 297 84
0 298 14
0 299 90
0 300 22
0 301 31
0 302 26
0 303 65
0 304 0
0 305 34
0 306 18
0 307 30
0 308 69
0 309 88
0 310 14
0 311 0
0 312 91
0 313 80
0 314 60
0 315 79
0 316 29
0 317 70
0 318 51
0 319 12
0 320 1
0 321 30
0 322 39
0 323 49
0 324 58
0 325 18
0 326 28
0 327 3
0 328 61
0 329 91
0 330 93
0 331 64
0 332 36
0 333 65
0 334 44
0 335 62
0 336 20
0 337 46
0 338 25
0 339 97
0 340 66
0 341 20
0 342 95
0 343 91
0 344 5
0 345 17
0 346 26
0 347 6
0 348 59
0 349 79
0 350 86
0 351 3
0 352 84
0 353 75
0 354 74
0 355 43
0 356 83
0 357 20
0 358 75
0 359 69
0 360 3
0 361 15
0 362 64
0 363 33
0 364 32
0 365 26
0 366 78
0 367 24
0 368 16
0 369 28
0 370 47
0 371 64
0 372 42
0 373 91
0 374 67
0 375 60
0 376 88
0 377 43
0 378 41
0 379 82
0 380 18
0 381 23
0 382 79
0 383 0
0 384 31
0 385 21
0 386 28
0 387 21
0 388 39
0 389 35
0 390 26
0 391 56
0 392 78
0 393 62
0 394 57
0 395 64
0 396 15
0 397 35
0 398 78
0 399 89
1 1 91
1 2 84
1 3 32
1 4 64
1 5 37
1 6 6
1 7 49
1 8 3
1 9 1
1 10 18
1 11 50
1 12 50
1 13 47
1 14 73
1 15 59
1 16 27
1 17 87
1 18 62
1 19 20
1 20 34
1 21 26
1 22 91
1 23 61
1 24 24
1 25 8
1 26 20
1 27 45
1 28 22
1 29 57
1 30 11
1 31 72
1 32 66
1 33 73
1 34 81
1 35 46
1 36 50
1 37 95
1 38 99
1 39 8
1 40 64
1 41 74
1 42 10
1 43 71
1 44 37
1 45 91
1 46 78
1 47 36
1 48 1
1 49 59
1 50 77
1 51 57
1 52 13
1 53 66
1 54 79
1 55 40
1 56 55
1 57 32
1 58 71
1 59 85
1 60 48
1 61 76
1 62 50
1 63 49
1 64 43
1 65 23
1 66 38
1 67 51
1 68 55
1 69 22
1 70 70
1 71 0
1 72 46
1 73 66
1 74 27
1 75 29
1 76 31
1 77 25
1 78 68
1 79 42
1 80 63
1 81 85
1 82 30
1 83 42
1 84 66
1 85 43
1 86 56
1 87 61
1 88 21
1 89 9
1 90 26
1 91 31
1 92 44
1 93 43
1 94 61
1 95 33
1 96 28
1 97 0
1 98 30
1 99 65
1 100 62
1 101 64
1 102 0
1 103 96
1 104 80
1 105 12
1 106 73
1 107 54
1 108 9
1 109 4
1 110 48
1 111 78
1 112 74
1 113 23
1 114 50
1 115 46
1 116 33
1 117 74
1 118 55
1 119 27
1 120 77
1 121 60
1 122 52
1 123 86
1 124 4
1 125 56
1 126 50
1 127 42
1 128 9
1 129 91
1 130 50
1 131 94
1 132 51
1 133 58
1 134 47
1 135 35
1 136 52
1 137 32
1 138 77
1 139 72
1 140 45
1 141 98
1 142 52
1 143 78
1 144 35
1 145 63
1 146 43
1 147 12
1 148 83
1 149 51
1 150 64
1 151 77
1 152 95
1 153 87
1 154 57
1 155 22
1 156 23
1 157 38
1 158 32
1 159 3
1 160 55
1 161 59
1 162 54
1 163 60
1 164 5
1 165 22
1 166 69
1 167 6
1 168 13
1 169 3
1 170 0
1 171 82
1 172 79
1 173 41
1 174 51
1 175 63
1 176 21
1 177 35
1 178 55
1 179 15
1 180 40
1 181 80
1 182 30
1 183 44
1 184 66
1 185 12
1 186 59
1 187 52
1 188 65
1 189 68
1 190 70
1 191 51
1 192 52
1 193 85
1 194 9
1 195 83
1 196 81
1 197 54
1 198 47
1 199 92
1 200 99
1 201 37
1 202 35
1 203 46
1 204 94
1 205 21
1 206 84
1 207 72
1 208 47
1 209 47
1 210 29
1 211 91
1 212 73
1 213 92
1 214 50
1 215 74
1 216 68
1 217 66
1 218 57
1 219 32
1 220 86
1 221 7
1 222 75
1 223 91
1 224 4
1 225 45
1 226 32
1 227 87
1 228 98
1 229 85
1 230 46
1 231 50
1 232 84
1 233 7
1 234 38
1 235 63
1 236 60
1 237 90
1 238 77
1 239 76
1 240 23
1 241 1
1 242 99
1 243 35
1 244 4
1 245 42
1 246 3
1 247 28
1 248 7
1 249 49
1 250 45
1 251 28
1 252 56
1 253 47
1 254 53
1 255 49
1 256 62
1 257 63
1 258 84
1 259 74
1 260 19
1 261 0
1 262 34
1 263 16
1 264 85
1 265 95
1 266 7
1 267 92
1 268 47
1 269 73
1 270 33
1 271 62
1 272 61
1 273 12
1 274 74
1 275 50
1 276 43
1 277 55
1 278 66
1 279 40
1 280 85
1 281 30
1 282 94
1 283 93
1 284 47
1 285 59
1 286 14
1 287 66
1 288 25
1 289 39
1 290 89
1 291 19
1 292 78
1 293 3
1 294 94
1 295 84
1 296 69
1 297 0
1 298 55
1 299 74
1 300 80
1 301 9
1 302 36
1 303 47
1 304 28
1 305 1
1 306 59
1 307 35
1 308 99
1 309 81
1 310 55
1 311 74
1 312 93
1 313 72
1 314 85
1 315 2
1 316 10
1 317 93
1 318 19
1 319 3
1 320 42
1 321 63
1 322 85
1 323 65
1 324 22
1 325 0
1 326 68
1 327 32
1 328 56
1 329 3
1 330 0
1 331 95
1 332 94
1 333 30
1 334 4
1 335 80
1 336 12
1 337 43
1 338 44
1 339 4
1 340 9
1 341 19
1 342 95
1 343 33
1 344 25
1 345 86
1 346 29
1 347 52
1 348 20
1 349 31
1 350 0
1 351 16
1 352 98
1 353 20
1 354 74
1 355 41
1 356 73
1 357 19
1 358 89
1 359 92
1 360 67
1 361 8
1 362 10
1 363 4
1 364 79
1 365 50
1 366 91
1 367 58
1 368 17
1 369 76
1 370 8
1 371 88
1 372 62
1 373 29
1 374 38
1 375 34
1 376 88
1 377 43
1 378 13
1 379 1
1 380 8
1 381 79
1 382 27
1 383 94
1 384 25
1 385 20
1 386 35
1 387 0
1 388 30
1 389 35
1 390 82
1 391 52
1 392 86
1 393 71
1 394 9
